kernel,m,n,k,placement,l1,method,h0_cycles,scalar_over_method
dot,1,1,7,a_plus1,1,dot8,2707,0.702253
dot,1,1,7,a_plus1,1,npu,5186,0.366564
dot,1,1,7,aligned,0,scalar,1938,1.000000
dot,1,1,7,aligned,0,multicore,3700,0.523784
dot,1,1,7,aligned,0,dot8,2313,0.837873
dot,1,1,7,aligned,0,npu,4293,0.451433
dot,1,1,7,aligned,1,scalar,1902,1.000000
dot,1,1,7,aligned,1,multicore,3527,0.539269
dot,1,1,7,aligned,1,dot8,2567,0.740943
dot,1,1,7,aligned,1,npu,5117,0.371702
dot,1,1,16,a_plus1,0,scalar,3018,1.000000
dot,1,1,16,a_plus1,0,multicore,4289,0.703661
dot,1,1,16,a_plus1,0,dot8,2980,1.012752
dot,1,1,16,a_plus1,0,npu,4365,0.691409
dot,1,1,16,a_plus1,1,scalar,2683,1.000000
dot,1,1,16,a_plus1,1,multicore,3881,0.691317
dot,1,1,16,a_plus1,1,dot8,2818,0.952094
dot,1,1,16,a_plus1,1,npu,5250,0.511048
dot,1,1,16,aligned,0,scalar,3018,1.000000
dot,1,1,16,aligned,0,multicore,4305,0.701045
dot,1,1,16,aligned,0,dot8,2528,1.193829
dot,1,1,16,aligned,0,npu,4365,0.691409
dot,1,1,16,aligned,1,scalar,2694,1.000000
dot,1,1,16,aligned,1,multicore,3891,0.692367
dot,1,1,16,aligned,1,dot8,2471,1.090247
dot,1,1,16,aligned,1,npu,5175,0.520580
dot,1,1,64,a_plus1,0,scalar,8778,1.000000
dot,1,1,64,a_plus1,0,multicore,8333,1.053402
dot,1,1,64,a_plus1,0,dot8,7204,1.218490
dot,1,1,64,a_plus1,0,npu,5376,1.632812
dot,1,1,64,a_plus1,1,scalar,6889,1.000000
dot,1,1,64,a_plus1,1,multicore,6070,1.134926
dot,1,1,64,a_plus1,1,dot8,5344,1.289109
dot,1,1,64,a_plus1,1,npu,5934,1.160937
dot,1,1,64,aligned,0,scalar,8778,1.000000
dot,1,1,64,aligned,0,multicore,8217,1.068273
dot,1,1,64,aligned,0,dot8,5444,1.612417
dot,1,1,64,aligned,0,npu,5376,1.632812
dot,1,1,64,aligned,1,scalar,6927,1.000000
dot,1,1,64,aligned,1,multicore,5952,1.163810
dot,1,1,64,aligned,1,dot8,4191,1.652827
dot,1,1,64,aligned,1,npu,6118,1.132233
dot,1,1,256,a_plus1,0,scalar,31818,1.000000
dot,1,1,256,a_plus1,0,multicore,23981,1.326800
dot,1,1,256,a_plus1,0,dot8,24100,1.320249
dot,1,1,256,a_plus1,0,npu,10061,3.162509
dot,1,1,256,a_plus1,1,scalar,23723,1.000000
dot,1,1,256,a_plus1,1,multicore,14508,1.635167
dot,1,1,256,a_plus1,1,dot8,15398,1.540655
dot,1,1,256,a_plus1,1,npu,11117,2.133939
dot,1,1,256,aligned,0,scalar,31818,1.000000
dot,1,1,256,aligned,0,multicore,23983,1.326690
dot,1,1,256,aligned,0,dot8,17108,1.859832
dot,1,1,256,aligned,0,npu,10061,3.162509
dot,1,1,256,aligned,1,scalar,23879,1.000000
dot,1,1,256,aligned,1,multicore,14721,1.622104
dot,1,1,256,aligned,1,dot8,10858,2.199208
dot,1,1,256,aligned,1,npu,11442,2.086960
dot,1,1,1024,a_plus1,0,scalar,123978,1.000000
dot,1,1,1024,a_plus1,0,multicore,86573,1.432063
dot,1,1,1024,a_plus1,0,dot8,91684,1.352232
dot,1,1,1024,a_plus1,0,npu,30064,4.123803
dot,1,1,1024,a_plus1,1,scalar,90828,1.000000
dot,1,1,1024,a_plus1,1,multicore,48076,1.889259
dot,1,1,1024,a_plus1,1,dot8,55506,1.636364
dot,1,1,1024,a_plus1,1,npu,33528,2.709019
dot,1,1,1024,aligned,0,scalar,123978,1.000000
dot,1,1,1024,aligned,0,multicore,86575,1.432030
dot,1,1,1024,aligned,0,dot8,63764,1.944326
dot,1,1,1024,aligned,0,npu,30064,4.123803
dot,1,1,1024,aligned,1,scalar,91428,1.000000
dot,1,1,1024,aligned,1,multicore,48574,1.882242
dot,1,1,1024,aligned,1,dot8,37332,2.449052
dot,1,1,1024,aligned,1,npu,32917,2.777531
fir,8,1,4,a_plus1,0,scalar,9201,1.000000
fir,8,1,4,a_plus1,0,multicore,8571,1.073504
fir,8,1,4,a_plus1,0,dot8,9010,1.021199
fir,8,1,4,a_plus1,0,npu,8055,1.142272
fir,8,1,4,a_plus1,1,scalar,6524,1.000000
fir,8,1,4,a_plus1,1,multicore,5621,1.160648
fir,8,1,4,a_plus1,1,dot8,7756,0.841155
fir,8,1,4,a_plus1,1,npu,7729,0.844094
fir,8,1,4,aligned,0,scalar,9201,1.000000
fir,8,1,4,aligned,0,multicore,8503,1.082089
fir,8,1,4,aligned,0,dot8,9010,1.021199
fir,8,1,4,aligned,0,npu,7983,1.152574
fir,8,1,4,aligned,1,scalar,6556,1.000000
fir,8,1,4,aligned,1,multicore,5585,1.173859
fir,8,1,4,aligned,1,dot8,8550,0.766784
fir,8,1,4,aligned,1,npu,7809,0.839544
fir,8,1,16,a_plus1,0,scalar,20721,1.000000
fir,8,1,16,a_plus1,0,multicore,16395,1.263861
fir,8,1,16,a_plus1,0,dot8,16804,1.233099
fir,8,1,16,a_plus1,0,npu,17423,1.189290
fir,8,1,16,a_plus1,1,scalar,14686,1.000000
fir,8,1,16,a_plus1,1,multicore,9717,1.511372
fir,8,1,16,a_plus1,1,dot8,12302,1.193790
fir,8,1,16,a_plus1,1,npu,12355,1.188669
fir,8,1,16,aligned,0,scalar,20721,1.000000
fir,8,1,16,aligned,0,multicore,16295,1.271617
fir,8,1,16,aligned,0,dot8,16804,1.233099
fir,8,1,16,aligned,0,npu,17351,1.194225
fir,8,1,16,aligned,1,scalar,14767,1.000000
fir,8,1,16,aligned,1,multicore,9792,1.508068
fir,8,1,16,aligned,1,dot8,12413,1.189640
fir,8,1,16,aligned,1,npu,12481,1.183158
fir,8,1,64,a_plus1,0,scalar,66801,1.000000
fir,8,1,64,a_plus1,0,multicore,47691,1.400705
fir,8,1,64,a_plus1,0,dot8,47980,1.392268
fir,8,1,64,a_plus1,0,npu,59009,1.132048
fir,8,1,64,a_plus1,1,scalar,47392,1.000000
fir,8,1,64,a_plus1,1,multicore,26400,1.795152
fir,8,1,64,a_plus1,1,dot8,31198,1.519072
fir,8,1,64,a_plus1,1,npu,36099,1.312834
fir,8,1,64,aligned,0,scalar,66801,1.000000
fir,8,1,64,aligned,0,multicore,47691,1.400705
fir,8,1,64,aligned,0,dot8,47980,1.392268
fir,8,1,64,aligned,0,npu,54275,1.230788
fir,8,1,64,aligned,1,scalar,47712,1.000000
fir,8,1,64,aligned,1,multicore,26649,1.790386
fir,8,1,64,aligned,1,dot8,30768,1.550702
fir,8,1,64,aligned,1,npu,34416,1.386332
fir,8,1,256,a_plus1,0,scalar,251121,1.000000
fir,8,1,256,a_plus1,0,multicore,172875,1.452616
fir,8,1,256,a_plus1,0,dot8,172684,1.454223
fir,8,1,256,a_plus1,0,npu,220403,1.139372
fir,8,1,256,a_plus1,1,scalar,178438,1.000000
fir,8,1,256,a_plus1,1,multicore,92986,1.918977
fir,8,1,256,a_plus1,1,dot8,104150,1.713279
fir,8,1,256,a_plus1,1,npu,140901,1.266407
fir,8,1,256,aligned,0,scalar,251121,1.000000
fir,8,1,256,aligned,0,multicore,172875,1.452616
fir,8,1,256,aligned,0,dot8,172684,1.454223
fir,8,1,256,aligned,0,npu,201845,1.244128
fir,8,1,256,aligned,1,scalar,179713,1.000000
fir,8,1,256,aligned,1,multicore,93623,1.919539
fir,8,1,256,aligned,1,dot8,103745,1.732257
fir,8,1,256,aligned,1,npu,136526,1.316328
gemm,1,1,1,a_plus1,0,scalar,1218,1.000000
gemm,1,1,1,a_plus1,0,multicore,2412,0.504975
gemm,1,1,1,a_plus1,0,dot8,1653,0.736842
gemm,1,1,1,a_plus1,0,npu,4018,0.303136
gemm,1,1,1,a_plus1,1,scalar,1374,1.000000
gemm,1,1,1,a_plus1,1,multicore,2352,0.584184
gemm,1,1,1,a_plus1,1,dot8,1899,0.723539
gemm,1,1,1,a_plus1,1,npu,4783,0.287267
gemm,1,1,1,aligned,0,scalar,1218,1.000000
gemm,1,1,1,aligned,0,multicore,2380,0.511765
gemm,1,1,1,aligned,0,dot8,1653,0.736842
gemm,1,1,1,aligned,0,npu,4036,0.301784
gemm,1,1,1,aligned,1,scalar,1371,1.000000
gemm,1,1,1,aligned,1,multicore,2319,0.591203
gemm,1,1,1,aligned,1,dot8,1896,0.723101
gemm,1,1,1,aligned,1,npu,4799,0.285685
gemm,1,3,4,a_plus1,0,scalar,3648,1.000000
gemm,1,3,4,a_plus1,0,multicore,6118,0.596273
gemm,1,3,4,a_plus1,0,dot8,3912,0.932515
gemm,1,3,4,a_plus1,0,npu,4333,0.841911
gemm,1,3,4,a_plus1,1,scalar,2999,1.000000
gemm,1,3,4,a_plus1,1,multicore,3857,0.777547
gemm,1,3,4,a_plus1,1,dot8,3977,0.754086
gemm,1,3,4,a_plus1,1,npu,5246,0.571674
gemm,1,3,4,aligned,0,scalar,3648,1.000000
gemm,1,3,4,aligned,0,multicore,6054,0.602577
gemm,1,3,4,aligned,0,dot8,3537,1.031383
gemm,1,3,4,aligned,0,npu,4369,0.834974
gemm,1,3,4,aligned,1,scalar,2999,1.000000
gemm,1,3,4,aligned,1,multicore,3874,0.774135
gemm,1,3,4,aligned,1,dot8,3406,0.880505
gemm,1,3,4,aligned,1,npu,5296,0.566276
gemm,3,5,8,a_plus1,0,scalar,23376,1.000000
gemm,3,5,8,a_plus1,0,multicore,24382,0.958740
gemm,3,5,8,a_plus1,0,dot8,21228,1.101187
gemm,3,5,8,a_plus1,0,npu,5440,4.297059
gemm,3,5,8,a_plus1,1,scalar,15885,1.000000
gemm,3,5,8,a_plus1,1,multicore,12351,1.286131
gemm,3,5,8,a_plus1,1,dot8,17193,0.923923
gemm,3,5,8,a_plus1,1,npu,6282,2.528653
gemm,3,5,8,aligned,0,scalar,23376,1.000000
gemm,3,5,8,aligned,0,multicore,24314,0.961421
gemm,3,5,8,aligned,0,dot8,17718,1.319336
gemm,3,5,8,aligned,0,npu,5440,4.297059
gemm,3,5,8,aligned,1,scalar,15862,1.000000
gemm,3,5,8,aligned,1,multicore,12277,1.292009
gemm,3,5,8,aligned,1,dot8,13603,1.166066
gemm,3,5,8,aligned,1,npu,6229,2.546476
gemm,4,4,16,a_plus1,0,scalar,40305,1.000000
gemm,4,4,16,a_plus1,0,multicore,30247,1.332529
gemm,4,4,16,a_plus1,0,dot8,33892,1.189219
gemm,4,4,16,a_plus1,0,npu,6246,6.452930
gemm,4,4,16,a_plus1,1,scalar,27060,1.000000
gemm,4,4,16,a_plus1,1,multicore,16208,1.669546
gemm,4,4,16,a_plus1,1,dot8,24323,1.112527
gemm,4,4,16,a_plus1,1,npu,6709,4.033388
gemm,4,4,16,aligned,0,scalar,40305,1.000000
gemm,4,4,16,aligned,0,multicore,30263,1.331824
gemm,4,4,16,aligned,0,dot8,26660,1.511815
gemm,4,4,16,aligned,0,npu,6246,6.452930
gemm,4,4,16,aligned,1,scalar,27035,1.000000
gemm,4,4,16,aligned,1,multicore,16070,1.682327
gemm,4,4,16,aligned,1,dot8,18526,1.459300
gemm,4,4,16,aligned,1,npu,6469,4.179162
gemm,8,8,31,a_plus1,0,scalar,274521,1.000000
gemm,8,8,31,a_plus1,0,multicore,192943,1.422809
gemm,8,8,31,a_plus1,0,dot8,220524,1.244858
gemm,8,8,31,a_plus1,0,npu,19920,13.781175
gemm,8,8,31,a_plus1,1,scalar,181386,1.000000
gemm,8,8,31,a_plus1,1,multicore,94175,1.926053
gemm,8,8,31,a_plus1,1,dot8,155042,1.169915
gemm,8,8,31,a_plus1,1,npu,18496,9.806769
gemm,8,8,31,aligned,0,scalar,274521,1.000000
gemm,8,8,31,aligned,0,multicore,192945,1.422794
gemm,8,8,31,aligned,0,dot8,220524,1.244858
gemm,8,8,31,aligned,0,npu,19920,13.781175
gemm,8,8,31,aligned,1,scalar,181413,1.000000
gemm,8,8,31,aligned,1,multicore,94214,1.925542
gemm,8,8,31,aligned,1,dot8,155430,1.167169
gemm,8,8,31,aligned,1,npu,19167,9.464861
gemm,16,16,64,a_plus1,0,scalar,2109513,1.000000
gemm,16,16,64,a_plus1,0,multicore,1453601,1.451232
gemm,16,16,64,a_plus1,0,dot8,1607884,1.311981
gemm,16,16,64,a_plus1,0,npu,123612,17.065600
gemm,16,16,64,a_plus1,1,scalar,1460762,1.000000
gemm,16,16,64,a_plus1,1,multicore,736945,1.982186
gemm,16,16,64,a_plus1,1,dot8,1052367,1.388073
gemm,16,16,64,a_plus1,1,npu,110077,13.270365
gemm,16,16,64,aligned,0,scalar,2109513,1.000000
gemm,16,16,64,aligned,0,multicore,1453617,1.451217
gemm,16,16,64,aligned,0,dot8,1157324,1.822751
gemm,16,16,64,aligned,0,npu,123612,17.065600
gemm,16,16,64,aligned,1,scalar,1459557,1.000000
gemm,16,16,64,aligned,1,multicore,736921,1.980615
gemm,16,16,64,aligned,1,dot8,756942,1.928228
gemm,16,16,64,aligned,1,npu,110001,13.268579
gemm,32,32,32,a_plus1,0,scalar,4502697,1.000000
gemm,32,32,32,a_plus1,0,multicore,3136417,1.435618
gemm,32,32,32,a_plus1,0,dot8,3543596,1.270658
gemm,32,32,32,a_plus1,0,npu,270098,16.670605
gemm,32,32,32,a_plus1,1,scalar,3085745,1.000000
gemm,32,32,32,a_plus1,1,multicore,1563563,1.973534
gemm,32,32,32,a_plus1,1,dot8,2420360,1.274912
gemm,32,32,32,a_plus1,1,npu,242144,12.743430
gemm,32,32,32,aligned,0,scalar,4502697,1.000000
gemm,32,32,32,aligned,0,multicore,3136433,1.435611
gemm,32,32,32,aligned,0,dot8,2634284,1.709268
gemm,32,32,32,aligned,0,npu,270098,16.670605
gemm,32,32,32,aligned,1,scalar,3082639,1.000000
gemm,32,32,32,aligned,1,multicore,1562244,1.973212
gemm,32,32,32,aligned,1,dot8,1778863,1.732927
gemm,32,32,32,aligned,1,npu,254632,12.106251
