kernel,m,n,k,placement,l1,method,h0_cycles,scalar_over_method
dot,1,1,1,a_plus1,0,scalar,1218,1.000000
dot,1,1,1,a_plus1,0,multicore,3211,0.379321
dot,1,1,1,a_plus1,0,dot8,1653,0.736842
dot,1,1,1,a_plus1,0,npu,4018,0.303136
dot,1,1,1,a_plus1,1,scalar,1406,1.000000
dot,1,1,1,a_plus1,1,multicore,3303,0.425674
dot,1,1,1,a_plus1,1,dot8,1896,0.741561
dot,1,1,1,a_plus1,1,npu,4704,0.298895
dot,1,1,1,aligned,0,scalar,1218,1.000000
dot,1,1,1,aligned,0,multicore,3262,0.373391
dot,1,1,1,aligned,0,dot8,1653,0.736842
dot,1,1,1,aligned,0,npu,4036,0.301784
dot,1,1,1,aligned,1,scalar,1373,1.000000
dot,1,1,1,aligned,1,multicore,3344,0.410586
dot,1,1,1,aligned,1,dot8,1867,0.735404
dot,1,1,1,aligned,1,npu,4777,0.287419
dot,1,1,4,a_plus1,0,scalar,1578,1.000000
dot,1,1,4,a_plus1,0,multicore,3329,0.474016
dot,1,1,4,a_plus1,0,dot8,1924,0.820166
dot,1,1,4,a_plus1,0,npu,4269,0.369642
dot,1,1,4,a_plus1,1,scalar,1606,1.000000
dot,1,1,4,a_plus1,1,multicore,3412,0.470692
dot,1,1,4,a_plus1,1,dot8,2316,0.693437
dot,1,1,4,a_plus1,1,npu,5120,0.313672
dot,1,1,4,aligned,0,scalar,1578,1.000000
dot,1,1,4,aligned,0,multicore,3377,0.467279
dot,1,1,4,aligned,0,dot8,1799,0.877154
dot,1,1,4,aligned,0,npu,4305,0.366551
dot,1,1,4,aligned,1,scalar,1638,1.000000
dot,1,1,4,aligned,1,multicore,3387,0.483614
dot,1,1,4,aligned,1,dot8,2057,0.796305
dot,1,1,4,aligned,1,npu,5120,0.319922
dot,1,1,7,a_plus1,0,scalar,1938,1.000000
dot,1,1,7,a_plus1,0,multicore,3668,0.528353
dot,1,1,7,a_plus1,0,dot8,2438,0.794914
dot,1,1,7,a_plus1,0,npu,4293,0.451433
dot,1,1,7,a_plus1,1,scalar,1901,1.000000
dot,1,1,7,a_plus1,1,multicore,3517,0.540517
