Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,248
design__inferred_latch__count,0
design__instance__count,283811
design__instance__area,1.37455E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,129
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,128
design__max_cap_violation__count__corner:nom_tt_025C_1v80,33
power__internal__total,0.012672994285821915
power__switching__total,0.00556764705106616
power__leakage__total,0.000018781054677674547
power__total,0.018259422853589058
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.35679965547558123
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.35679965547558123
timing__hold__ws__corner:nom_tt_025C_1v80,0.42319315916080014
timing__setup__ws__corner:nom_tt_025C_1v80,6.302872180352627
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.423193
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.302872
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1572
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,128
design__max_cap_violation__count__corner:nom_ss_100C_1v60,199
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.6063404394640332
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6063404394640332
timing__hold__ws__corner:nom_ss_100C_1v60,0.8207044165450325
timing__setup__ws__corner:nom_ss_100C_1v60,2.558575645991612
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.820704
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.558576
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,25
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,128
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,17
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.2455789530130288
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2455789530130288
timing__hold__ws__corner:nom_ff_n40C_1v95,0.269867524854286
timing__setup__ws__corner:nom_ff_n40C_1v95,7.5232826542413465
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.269868
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.523283
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2262
design__max_fanout_violation__count,128
design__max_cap_violation__count,274
clock__skew__worst_hold,0.6920233471026898
clock__skew__worst_setup,0.2250104055655926
timing__hold__ws,0.2695166388574295
timing__setup__ws,1.678845554539208
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.269517
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.678846
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1200.0 1200.0
design__core__bbox,5.52 10.88 1194.16 1188.64
design__io,6
design__die__area,1.44E+6
design__core__area,1.39993E+6
design__instance__count__stdcell,29957
design__instance__area__stdcell,179973
design__instance__count__macros,1
design__instance__area__macros,284538
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.33181
design__instance__utilization__stdcell,0.161353
design__rows,595
design__rows:unithd,595
design__sites,871174
design__sites:unithd,871174
design__instance__count__class:macro,1
design__instance__area__class:macro,284538
design__instance__count__class:buffer,32
design__instance__area__class:buffer,120.115
design__instance__count__class:inverter,175
design__instance__area__class:inverter,656.88
design__instance__count__class:sequential_cell,2544
design__instance__area__class:sequential_cell,54139.4
design__instance__count__class:multi_input_combinational_cell,8875
design__instance__area__class:multi_input_combinational_cell,90006.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,253853
design__instance__area__class:fill_cell,910040
design__instance__count__class:tap_cell,15647
design__instance__area__class:tap_cell,19577.5
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
floorplan__design__io,4
design__io__hpwl,3655152
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,861.8
design__instance__displacement__mean,0.027
design__instance__displacement__max,6.4
route__wirelength__estimated,653147
design__violations,0
design__instance__count__class:timing_repair_buffer,1722
design__instance__area__class:timing_repair_buffer,8041.46
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,14
design__instance__count__class:clock_buffer,396
design__instance__area__class:clock_buffer,5550.32
design__instance__count__class:clock_inverter,45
design__instance__area__class:clock_inverter,576.803
design__instance__count__setup_buffer,284
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,51
global_route__wirelength,1043742
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,223
design__instance__count__class:antenna_cell,521
design__instance__area__class:antenna_cell,1303.75
flow__warnings__count:GRT-0243,1
flow__warnings__count:EST-0026,1001
route__net,13693
route__net__special,2
route__drc_errors__iter:0,46
route__wirelength__iter:0,774040
route__drc_errors__iter:1,17
route__wirelength__iter:1,774033
route__drc_errors__iter:2,13
route__wirelength__iter:2,774035
route__drc_errors__iter:3,0
route__wirelength__iter:3,774028
route__drc_errors__iter:4,0
route__wirelength__iter:4,774579
route__drc_errors,0
route__wirelength,774028
route__vias,114863
route__vias__singlecut,114863
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,32
design__critical_disconnected_pin__count,0
route__wirelength__max,1388.68
timing__unannotated_net__count__corner:nom_tt_025C_1v80,172
