id,groups,version,name,bytes,repetitions,seed,status,checksum,clock_hz,l1,sync_memory,line_words,line_count,memory_wait,cycles,retired,memory_transactions,backing_transactions,cache_accesses,cache_misses,dma_bytes,accelerator_cycles
walk_sequential-b2048-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,2048,8,324468736,PASS,1046528,31250000,0,1,4,16,1,131135,24590,32783,32783,0,0,0,0
walk_sequential-b2048-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,2048,8,324468736,PASS,1046528,31250000,1,1,4,16,1,111678,24590,32783,4102,32783,1027,0,0
walk_sequential-b4096-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,4096,8,324468736,PASS,4190208,31250000,0,1,4,16,1,262207,49166,65551,65551,0,0,0,0
walk_sequential-b4096-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,4096,8,324468736,PASS,4190208,31250000,1,1,4,16,1,223294,49166,65551,8198,65551,2051,0,0
walk_sequential-b8192-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,8192,8,324468736,PASS,16769024,31250000,0,1,4,16,1,524351,98318,131087,131087,0,0,0,0
walk_sequential-b8192-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,8192,8,324468736,PASS,16769024,31250000,1,1,4,16,1,446526,98318,131087,16390,131087,4099,0,0
walk_sequential-b512-r8-s13570000-l11-sync1-wait1-w4-n4,cache_sizes,2,walk_sequential,512,8,324468736,PASS,65024,31250000,1,1,4,4,1,28002,6158,8207,1046,8207,263,0,0
walk_sequential-b512-r8-s13570000-l11-sync1-wait1-w4-n8,cache_sizes,2,walk_sequential,512,8,324468736,PASS,65024,31250000,1,1,4,8,1,27966,6158,8207,1030,8207,259,0,0
walk_sequential-b512-r8-s13570000-l11-sync1-wait1-w4-n32,cache_sizes,2,walk_sequential,512,8,324468736,PASS,65024,31250000,1,1,4,32,1,25662,6158,8207,6,8207,3,0,0
walk_sequential-b512-r8-s13570000-l11-sync1-wait1-w4-n64,cache_sizes,2,walk_sequential,512,8,324468736,PASS,65024,31250000,1,1,4,64,1,25662,6158,8207,6,8207,3,0,0
walk_random-b64-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,64,8,324468736,PASS,960,31250000,0,1,4,16,1,4159,782,1039,1039,0,0,0,0
walk_random-b64-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,64,8,324468736,PASS,960,31250000,1,1,4,16,1,3262,782,1039,6,1039,1,0,0
walk_random-b128-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,128,8,324468736,PASS,3968,31250000,0,1,4,16,1,8255,1550,2063,2063,0,0,0,0
walk_random-b128-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,128,8,324468736,PASS,3968,31250000,1,1,4,16,1,6462,1550,2063,6,2063,1,0,0
walk_random-b256-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,256,8,324468736,PASS,16128,31250000,0,1,4,16,1,16447,3086,4111,4111,0,0,0,0
walk_random-b256-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,256,8,324468736,PASS,16128,31250000,1,1,4,16,1,12862,3086,4111,6,4111,3,0,0
walk_random-b1024-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,1024,8,324468736,PASS,261120,31250000,0,1,4,16,1,65603,12303,16400,16400,0,0,0,0
walk_random-b1024-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,1024,8,324468736,PASS,261120,31250000,1,1,4,16,1,65521,12303,16400,6342,16400,1587,0,0
walk_random-b2048-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,2048,8,324468736,PASS,1046528,31250000,0,1,4,16,1,131135,24590,32783,32783,0,0,0,0
walk_random-b2048-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,2048,8,324468736,PASS,1046528,31250000,1,1,4,16,1,134430,24590,32783,14214,32783,3555,0,0
walk_random-b4096-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,4096,8,324468736,PASS,4190208,31250000,0,1,4,16,1,262207,49166,65551,65551,0,0,0,0
walk_random-b4096-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,4096,8,324468736,PASS,4190208,31250000,1,1,4,16,1,274486,49166,65551,30950,65551,7739,0,0
walk_random-b8192-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,8192,8,324468736,PASS,16769024,31250000,0,1,4,16,1,524351,98318,131087,131087,0,0,0,0
walk_random-b8192-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_random,8192,8,324468736,PASS,16769024,31250000,1,1,4,16,1,553158,98318,131087,63782,131087,15947,0,0
walk_random-b512-r8-s13570000-l11-sync1-wait1-w4-n4,cache_sizes,2,walk_random,512,8,324468736,PASS,65024,31250000,1,1,4,4,1,34194,6158,8207,3798,8207,951,0,0
walk_random-b512-r8-s13570000-l11-sync1-wait1-w4-n8,cache_sizes,2,walk_random,512,8,324468736,PASS,65024,31250000,1,1,4,8,1,33366,6158,8207,3430,8207,859,0,0
walk_random-b512-r8-s13570000-l11-sync1-wait1-w4-n32,cache_sizes,2,walk_random,512,8,324468736,PASS,65024,31250000,1,1,4,32,1,25662,6158,8207,6,8207,3,0,0
walk_random-b512-r8-s13570000-l11-sync1-wait1-w4-n64,cache_sizes,2,walk_random,512,8,324468736,PASS,65024,31250000,1,1,4,64,1,25662,6158,8207,6,8207,1,0,0
walk_random-b512-r8-s00000000-l11-sync1-wait1-w4-n16,random_seeds,2,walk_random,512,8,0,PASS,65024,31250000,1,1,4,16,1,31854,6158,8207,2758,8207,691,0,0
walk_random-b4096-r8-s00000000-l11-sync1-wait1-w4-n16,random_seeds,2,walk_random,4096,8,0,PASS,4190208,31250000,1,1,4,16,1,275854,49166,65551,31558,65551,7891,0,0
walk_random-b512-r8-s00000001-l11-sync1-wait1-w4-n16,random_seeds,2,walk_random,512,8,1,PASS,65024,31250000,1,1,4,16,1,30558,6158,8207,2182,8207,547,0,0
walk_random-b4096-r8-s00000001-l11-sync1-wait1-w4-n16,random_seeds,2,walk_random,4096,8,1,PASS,4190208,31250000,1,1,4,16,1,275494,49166,65551,31398,65551,7851,0,0
walk_random-b512-r8-s0000a57e-l11-sync1-wait1-w4-n16,random_seeds,2,walk_random,512,8,42366,PASS,65024,31250000,1,1,4,16,1,30990,6158,8207,2374,8207,595,0,0
walk_random-b4096-r8-s0000a57e-l11-sync1-wait1-w4-n16,random_seeds,2,walk_random,4096,8,42366,PASS,4190208,31250000,1,1,4,16,1,275062,49166,65551,31206,65551,7803,0,0
