id,groups,version,name,bytes,repetitions,seed,status,checksum,clock_hz,l1,sync_memory,line_words,line_count,memory_wait,cycles,retired,memory_transactions,backing_transactions,cache_accesses,cache_misses,dma_bytes,accelerator_cycles
memcpy-b256-r8-s13570000-l10-sync0-wait0-w4-n16,cache_vs_uncached,2,memcpy,256,8,324468736,PASS,3300798976,31250000,0,0,4,16,0,13910,3101,4636,4636,0,0,0,0
memcpy-b256-r8-s13570000-l10-sync1-wait1-w4-n16,cache_vs_uncached,2,memcpy,256,8,324468736,PASS,3300798976,31250000,0,1,4,16,1,18034,3101,4636,4636,0,0,0,0
memcpy-b256-r8-s13570000-l10-sync1-wait4-w4-n16,cache_vs_uncached,2,memcpy,256,8,324468736,PASS,3300798976,31250000,0,1,4,16,4,30918,3101,4636,4636,0,0,0,0
memcpy-b256-r8-s13570000-l11-sync0-wait0-w4-n16,cache_vs_uncached,2,memcpy,256,8,324468736,PASS,3300798976,31250000,1,0,4,16,0,14518,3101,4636,588,4636,531,0,0
memcpy-b256-r8-s13570000-l11-sync1-wait1-w4-n16,cache_vs_uncached,2,memcpy,256,8,324468736,PASS,3300798976,31250000,1,1,4,16,1,15106,3101,4636,588,4636,531,0,0
memcpy-b256-r8-s13570000-l11-sync1-wait4-w4-n16,cache_vs_uncached,2,memcpy,256,8,324468736,PASS,3300798976,31250000,1,1,4,16,4,16870,3101,4636,588,4636,531,0,0
walk_sequential-b512-r8-s13570000-l10-sync0-wait0-w4-n16,cache_vs_uncached,2,walk_sequential,512,8,324468736,PASS,65024,31250000,0,0,4,16,0,25648,6158,8207,8207,0,0,0,0
walk_sequential-b512-r8-s13570000-l10-sync1-wait1-w4-n16,cache_vs_uncached;working_sets;sequential_vs_random,2,walk_sequential,512,8,324468736,PASS,65024,31250000,0,1,4,16,1,32831,6158,8207,8207,0,0,0,0
walk_sequential-b512-r8-s13570000-l10-sync1-wait4-w4-n16,cache_vs_uncached,2,walk_sequential,512,8,324468736,PASS,65024,31250000,0,1,4,16,4,55404,6158,8207,8207,0,0,0,0
walk_sequential-b512-r8-s13570000-l11-sync0-wait0-w4-n16,cache_vs_uncached,2,walk_sequential,512,8,324468736,PASS,65024,31250000,1,0,4,16,0,26936,6158,8207,1030,8207,259,0,0
walk_sequential-b512-r8-s13570000-l11-sync1-wait1-w4-n16,cache_vs_uncached;working_sets;sequential_vs_random;cache_sizes,2,walk_sequential,512,8,324468736,PASS,65024,31250000,1,1,4,16,1,27966,6158,8207,1030,8207,259,0,0
walk_sequential-b512-r8-s13570000-l11-sync1-wait4-w4-n16,cache_vs_uncached,2,walk_sequential,512,8,324468736,PASS,65024,31250000,1,1,4,16,4,31056,6158,8207,1030,8207,259,0,0
walk_random-b512-r8-s13570000-l10-sync0-wait0-w4-n16,cache_vs_uncached,2,walk_random,512,8,324468736,PASS,65024,31250000,0,0,4,16,0,25648,6158,8207,8207,0,0,0,0
walk_random-b512-r8-s13570000-l10-sync1-wait1-w4-n16,cache_vs_uncached;working_sets;sequential_vs_random,2,walk_random,512,8,324468736,PASS,65024,31250000,0,1,4,16,1,32831,6158,8207,8207,0,0,0,0
walk_random-b512-r8-s13570000-l10-sync1-wait4-w4-n16,cache_vs_uncached,2,walk_random,512,8,324468736,PASS,65024,31250000,0,1,4,16,4,55404,6158,8207,8207,0,0,0,0
walk_random-b512-r8-s13570000-l11-sync0-wait0-w4-n16,cache_vs_uncached,2,walk_random,512,8,324468736,PASS,65024,31250000,1,0,4,16,0,29016,6158,8207,2694,8207,675,0,0
walk_random-b512-r8-s13570000-l11-sync1-wait1-w4-n16,cache_vs_uncached;working_sets;sequential_vs_random;cache_sizes,2,walk_random,512,8,324468736,PASS,65024,31250000,1,1,4,16,1,31710,6158,8207,2694,8207,675,0,0
walk_random-b512-r8-s13570000-l11-sync1-wait4-w4-n16,cache_vs_uncached,2,walk_random,512,8,324468736,PASS,65024,31250000,1,1,4,16,4,39792,6158,8207,2694,8207,675,0,0
walk_sequential-b64-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,64,8,324468736,PASS,960,31250000,0,1,4,16,1,4159,782,1039,1039,0,0,0,0
walk_sequential-b64-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,64,8,324468736,PASS,960,31250000,1,1,4,16,1,3262,782,1039,6,1039,3,0,0
walk_sequential-b128-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,128,8,324468736,PASS,3968,31250000,0,1,4,16,1,8255,1550,2063,2063,0,0,0,0
walk_sequential-b128-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,128,8,324468736,PASS,3968,31250000,1,1,4,16,1,6462,1550,2063,6,2063,3,0,0
walk_sequential-b256-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,256,8,324468736,PASS,16128,31250000,0,1,4,16,1,16447,3086,4111,4111,0,0,0,0
walk_sequential-b256-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,256,8,324468736,PASS,16128,31250000,1,1,4,16,1,12862,3086,4111,6,4111,3,0,0
walk_sequential-b1024-r8-s13570000-l10-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,1024,8,324468736,PASS,261120,31250000,0,1,4,16,1,65603,12303,16400,16400,0,0,0,0
walk_sequential-b1024-r8-s13570000-l11-sync1-wait1-w4-n16,working_sets;sequential_vs_random,2,walk_sequential,1024,8,324468736,PASS,261120,31250000,1,1,4,16,1,55873,12303,16400,2054,16400,515,0,0
